MD,INC,AZI,CL,TVD,NS,EW,VSEC,DOGLEG,TF,BUILD,TURN
3000.0,51.6154,121.5,100.0,2644.686657,-559.223879,912.572155,1070.275674,0.347409,0.0,0.343096,0.003978
3100.0,52.7692,121.5,100.0,2705.984105,-600.509349,979.939776,1149.283137,0.344413,0.0,0.344525,0.003957
3200.0,53.9231,121.5,100.0,2765.680046,-642.431246,1048.346153,1229.509396,0.341899,0.0,0.346192,0.00369
3300.0,55.0769,121.5,100.0,2823.750377,-684.972271,1117.76339,1310.921865,0.340372,0.0,0.347797,0.003194
3400.0,56.2308,121.5,100.0,2880.171436,-728.114906,1188.163192,1393.487462,0.340316,0.0,0.349279,0.002499
3500.0,57.3846,121.5,100.0,2934.920027,-771.841433,1259.516879,1477.172635,0.341634,0.0,0.350359,0.001648
3600.0,58.5385,121.5,100.0,2987.973457,-816.133957,1331.795408,1561.943367,0.344115,0.0,0.351035,0.000696
3700.0,59.6923,121.5,100.0,3039.309609,-860.974426,1404.969382,1647.765203,0.347039,0.0,0.351115,-0.000301
3800.0,60.8462,121.5,100.0,3088.90701,-906.34464,1479.009072,1734.603254,0.349803,0.0,0.350707,-0.001278
3900.0,62.0,121.5,100.0,3136.744914,-952.226258,1553.884427,1822.422222,0.351618,0.0,0.34974,-0.002176
4000.0,62.0,121.5,100.0,3183.695623,-998.35693,1629.167113,1910.719657,0.005981,0.0,0.002267,-0.002939
4100.0,62.0,121.5,100.0,3230.644566,-1044.486758,1704.449048,1999.016832,0.00502,0.0,0.000684,-0.003519
4200.0,62.0,121.5,100.0,3277.591546,-1090.615994,1779.730302,2087.313678,0.00283,0.0,-0.000975,-0.00388
4300.0,62.0,121.5,100.0,3324.536582,-1136.744928,1855.01097,2175.610139,-5.3e-05,0.0,-0.002526,-0.004
4400.0,62.0,121.5,100.0,3371.479908,-1182.873868,1930.291172,2263.906167,-0.002923,0.0,-0.003798,-0.003871
4500.0,62.0,121.5,100.0,3418.421946,-1229.003121,2005.571046,2352.201727,-0.005077,0.0,-0.004653,-0.003502
4600.0,62.0,121.5,100.0,3465.363258,-1275.132975,2080.850742,2440.496798,-0.005988,0.0,-0.004996,-0.002915
4700.0,62.0,121.5,100.0,3512.304489,-1321.26368,2156.130417,2528.791369,-0.005433,0.0,-0.004788,-0.002146
4800.0,62.0,121.5,100.0,3559.24629,-1367.395435,2231.410232,2617.085447,-0.003548,0.0,-0.004054,-0.001244
4900.0,62.0,121.5,100.0,3606.189251,-1413.528371,2306.69034,2705.37905,-0.000794,0.0,-0.002873,-0.000265
5000.0,62.0,121.5,100.0,3653.133834,-1459.662548,2381.970881,2793.672212,0.002154,0.0,-0.001376,0.00073
5100.0,62.0,121.5,100.0,3700.080322,-1505.797948,2457.251979,2881.964974,0.004575,0.0,0.000273,0.001681
5200.0,62.0,121.5,100.0,3747.028788,-1551.934476,2532.533738,2970.257393,0.005876,0.0,0.001891,0.002526
